property_id,location_id,property_type,price,location,city,province_name,baths,area,purpose,bedrooms,Area Type,Area Size,Area Category
17091180,3327,Lower Portion,80000,G-10,Islamabad,Islamabad Capital,0,5 Marla,For Rent,2,Marla,5,0-5 Marla
17091187,174,Lower Portion,58000,I-8,Islamabad,Islamabad Capital,3,10 Marla,For Rent,3,Marla,10,5-10 Marla
17091226,3443,Lower Portion,60000,I-8,Islamabad,Islamabad Capital,3,12 Marla,For Rent,3,Marla,12,10-15 Marla
17091229,174,Lower Portion,68000,I-8,Islamabad,Islamabad Capital,3,14.2 Marla,For Rent,3,Marla,14.2,10-15 Marla
17091230,174,Lower Portion,68000,I-8,Islamabad,Islamabad Capital,3,14.2 Marla,For Rent,3,Marla,14.2,10-15 Marla
17091232,174,Lower Portion,68000,I-8,Islamabad,Islamabad Capital,3,14.2 Marla,For Rent,3,Marla,14.2,10-15 Marla
17091234,174,Lower Portion,70000,I-8,Islamabad,Islamabad Capital,3,14.2 Marla,For Rent,3,Marla,14.2,10-15 Marla
17091236,174,Lower Portion,68000,I-8,Islamabad,Islamabad Capital,3,14.2 Marla,For Rent,3,Marla,14.2,10-15 Marla
17091284,330,Lower Portion,22000,G-13,Islamabad,Islamabad Capital,2,4.4 Marla,For Rent,2,Marla,4.4,0-5 Marla
17091315,3337,House,50000,G-13,Islamabad,Islamabad Capital,0,4.4 Marla,For Rent,3,Marla,4.4,0-5 Marla
17091316,3337,Upper Portion,25000,G-13,Islamabad,Islamabad Capital,0,4.4 Marla,For Rent,2,Marla,4.4,0-5 Marla
17091317,3337,Lower Portion,25000,G-13,Islamabad,Islamabad Capital,0,4.4 Marla,For Rent,2,Marla,4.4,0-5 Marla
17091318,3340,Lower Portion,55000,G-13,Islamabad,Islamabad Capital,4,10.9 Marla,For Rent,3,Marla,10.9,10-15 Marla
17091319,3340,Upper Portion,50000,G-13,Islamabad,Islamabad Capital,3,10.9 Marla,For Rent,3,Marla,10.9,10-15 Marla
17091320,3338,House,70000,G-13,Islamabad,Islamabad Capital,5,8 Marla,For Rent,4,Marla,8,5-10 Marla
17091321,3338,Upper Portion,35000,G-13,Islamabad,Islamabad Capital,0,8 Marla,For Rent,0,Marla,8,5-10 Marla
17091322,3338,Lower Portion,35000,G-13,Islamabad,Islamabad Capital,0,8 Marla,For Rent,0,Marla,8,5-10 Marla
17091342,3339,Lower Portion,55000,G-13,Islamabad,Islamabad Capital,3,10 Marla,For Rent,3,Marla,10,5-10 Marla
17091412,174,Lower Portion,59000,I-8,Islamabad,Islamabad Capital,3,10 Marla,For Rent,3,Marla,10,5-10 Marla
17091419,3147,House,55000,CBR Town,Islamabad,Islamabad Capital,4,8 Marla,For Rent,4,Marla,8,5-10 Marla
17091462,3442,Upper Portion,60000,I-8,Islamabad,Islamabad Capital,0,10 Marla,For Rent,0,Marla,10,5-10 Marla
17091481,3442,Upper Portion,60000,I-8,Islamabad,Islamabad Capital,0,10 Marla,For Rent,0,Marla,10,5-10 Marla
17091524,3443,Upper Portion,60000,I-8,Islamabad,Islamabad Capital,0,10 Marla,For Rent,0,Marla,10,5-10 Marla
17091551,3443,Upper Portion,55000,I-8,Islamabad,Islamabad Capital,0,10 Marla,For Rent,0,Marla,10,5-10 Marla
17091599,3423,Lower Portion,36000,I-10,Islamabad,Islamabad Capital,2,5.6 Marla,For Rent,4,Marla,5.6,5-10 Marla
